rxn_id,has_energy,energy_source,atp_synthase_heuristic,abc_transporter_heuristic,stored_bounds_heuristic,mmdeltag_band_heuristic,low_energy_heuristic,default_heuristic,cascade_winner,cascade_operator
rxn16791,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16792,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16793,1,eQuilibrator,-,-,-,-,-,=,default_heuristic,=
rxn16794,1,Group contribution,-,-,-,-,-,=,default_heuristic,=
rxn16795,1,Group contribution,-,-,-,-,>,=,low_energy_heuristic,>
rxn16796,1,Group contribution,-,-,-,-,-,=,default_heuristic,=
rxn16797,1,Group contribution,-,-,-,-,>,=,low_energy_heuristic,>
rxn16798,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16799,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16800,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16801,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16802,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16803,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16804,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16805,1,eQuilibrator,-,-,>,-,>,=,stored_bounds_heuristic,>
rxn16806,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16807,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16808,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16809,1,eQuilibrator,-,-,>,-,>,=,stored_bounds_heuristic,>
rxn16810,1,Group contribution,-,-,>,-,>,=,stored_bounds_heuristic,>
rxn16811,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16812,1,Group contribution,-,-,>,-,>,=,stored_bounds_heuristic,>
rxn16813,1,Group contribution,-,-,>,-,>,=,stored_bounds_heuristic,>
rxn16814,1,eQuilibrator,-,-,>,-,>,=,stored_bounds_heuristic,>
rxn16815,1,eQuilibrator,-,-,>,-,>,=,stored_bounds_heuristic,>
rxn16816,1,eQuilibrator,-,-,>,-,>,=,stored_bounds_heuristic,>
rxn16817,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16818,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16819,1,Group contribution,-,-,>,-,>,=,stored_bounds_heuristic,>
rxn16820,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16821,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16822,1,eQuilibrator,-,-,>,-,>,=,stored_bounds_heuristic,>
rxn16823,1,Group contribution,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn16824,1,Group contribution,-,-,-,-,>,=,low_energy_heuristic,>
rxn16825,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16826,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn16827,1,Group contribution,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn16828,1,Group contribution,-,-,<,-,-,=,stored_bounds_heuristic,<
rxn16829,1,eQuilibrator,-,-,>,-,>,=,stored_bounds_heuristic,>
rxn16830,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16831,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16832,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16833,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16834,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16835,1,Group contribution,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16836,1,eQuilibrator,-,-,-,-,-,=,default_heuristic,=
rxn16837,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16838,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16839,1,eQuilibrator,-,-,<,-,-,=,stored_bounds_heuristic,<
rxn16840,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16841,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16842,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16843,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16844,1,eQuilibrator,-,-,-,-,>,=,low_energy_heuristic,>
rxn16845,1,eQuilibrator,-,-,-,-,-,=,default_heuristic,=
rxn16846,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16847,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16848,1,,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16849,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16850,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16851,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16852,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16853,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16854,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16855,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16856,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16857,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16858,0,,-,-,NA,NA,NA,=,default_heuristic,=
